_checksum,_id,name,official_name,citizen_names,start_date,end_date
1620ffa3d15e8aff086311388b2821ae3daa3417ffff7440d1ba11edfc718e9167e6,SPE,Spelthorne,Spelthorne Borough Council,,,
16208aaa6ab61df83ced7c1c063cbb184b5fc1ba8c95b75bd21457d71013ef0c4d81,SRI,South Ribble,South Ribble Borough Council,,,
162053737620308290e72ea56fc5974072f2edb43ef54f5d57fc40aaf28262e954a7,SRY,Surrey,Surrey County Council,,,
162098961e408e09f5db383e9a988ee4fabf51237736e3c14cbf625fbcc1a5516c96,SSO,South Somerset,South Somerset District Council,,,
162030ef8f5f8cc7aa5cc847701d8b49a346c2702205fd21587248589c72269f637d,SST,South Staffordshire,South Staffordshire Council,,,
16204b1ff8f5d6f1e4e746ac4a54b232305f21d9ad12d6e99ed3da64f17351c51c5c,STA,Stafford,Stafford Borough Council,,,
16207606fe5cac6153b25442961303835f4746a77d16257899ceed64fba90981b5da,STE,Stoke-on-Trent,Stoke-on-Trent City Council,,1905-06-20,
16207f3045415e1e18a7323a41f5b607ee41546e4c929a2aa733be5eecc7ecf2984b,STF,Staffordshire Moorlands,Staffordshire Moorlands District Council,,,
16202f1382ba7deba3afec31ca5020279f322dfa3951239466b0d06a313821bc1e8f,STH,Southampton,Southampton City Council,,1905-06-19,
1620d7105d09afaabd60c640b3b39c3b7db74cc58ab47c4b32a7a3bb128cb8e55b9f,STN,Sutton,London Borough of Sutton,,,
162056f8595a42e85c4781023989ae4adea47af86b0ce9cc4dc108ec34b33eb5687c,STO,Stroud,Stroud District Council,,,
162054b24a250b74cf6c10b4d6f2e98a8c117b567f8ddcffb64052b261a4f2ada3f2,STR,Stratford-on-Avon,Stratford-on-Avon District Council,,,
1620bd71d488a4383b3a76069f9dd1881903743764c4d515499a4a47a240e7e466c0,STS,Staffordshire,Staffordshire County Council,,,
162084754e3ce706e2208e1a68c69e18d7d84b8b63213f33222af8f2e1f1a6f37a44,STT,Stockton-on-Tees,Stockton-on-Tees Borough Council,,1905-06-18,
162095706904c81a017bef84a63a5bed065aa42815923ddf28534410c88b5e323eac,STV,Stevenage,Stevenage Borough Council,,,
162036abc3608a4c0bd731e79647bc966946dc04a1691b58577c0256785b6a8f8421,STY,South Tyneside,South Tyneside Council,,1974-04-01,
1620629756cd2da60674f7a28f8bca84ffd3bc432a18a86af2b5f2ec66d26770edd2,SUF,Suffolk Coastal,Suffolk Coastal District Council,,,2019-03-31
162027e80e24c4a5dd9c1823e465ed534d2749a28a57a21bef1420bf31d494b4703c,SUR,Surrey Heath,Surrey Heath Borough Council,,,
162045bb32b93d7ea39aaa3111dc38516058841f6c76250735f462639a8e6142459b,SWD,Swindon,Swindon Borough Council,,1905-06-20,
162041b09469acdcdb05afe97c358fefd5a89d6724a3f2055f2d4d579f8945ceca78,SWK,Southwark,London Borough of Southwark,,,
16209f4476ec2c16df24767435ffb7266b91133995468d5e79f7f96789822d5acfe0,SWL,Swale,Swale Borough Council,,,
1620034502edd900a2d356cbb8bc0136aba4957bd8281fbc47f84f62cdb6aa3e9f67,SWT,Somerset West and Taunton,Somerset West and Taunton Council,,2019-04-01,
1620d444066bd8d174273b734bd69d911b8b2a24e109a10ae2c2bbd6c8bc26a563ad,TAM,Tameside,Tameside Metropolitan Borough Council,,1974-04-01,
162012dcc6b0208881f78383190d061bbac6b2b1f2975260996a5ad0b4df21d200c4,TAN,Tandridge,Tandridge District Council,,,
1620413e9088ad796843755d11f67d67c3d9eaf474b74cdd5958e03091e242866bea,TAU,Taunton Deane,Taunton Deane Borough Council,,,2019-03-31
162000306552bc6f16a0dfae5d67346d12f3cc7ac25ce2e4d730ee5e7f5bd800eacd,TAW,Tamworth,Tamworth Borough Council,,,
162001423450d2e8fa38497b9342b334922182155f5fd59323d50272fa7ece22b974,TEI,Teignbridge,Teignbridge District Council,,,
16201c9a35aeb96844c02385d987f47e078259230ea94f70be84d0f8590057a70126,TEN,Tendring,Tendring District Council,,,
162001d964c7c80199aa696de2fd658e6797b6defc8b882924836bb5c1c69fc189ec,TES,Test Valley,Test Valley Borough Council,,,
1620f224714fc6cd8857e5905e717d68735f40c53a23bc38d41e1b6f0a6622ddeabb,TEW,Tewkesbury,Tewkesbury Borough Council,,,
16207ba14750982a843de6dd949a15e87963ba9298011c197aac7d4fcd00a64a5e28,TFW,Telford and Wrekin,Telford & Wrekin Council,,1905-06-20,
1620987161bae46e11599d8a0f79a06e34967e371dcdac2d9921986ca11ce0d483f7,THA,Thanet,Thanet District Council,,,
162012546c85333c3286a361a5ba032c3919705b5d497c04df34a531718440e9855f,THE,Three Rivers,Three Rivers District Council,,,
1620c922d89c121b9ac9a0928d08bfb9760598555e4d52509fa74b1e2d21a17b5e8b,THR,Thurrock,Thurrock Council,,1905-06-20,
16207e428ac08228c5a10e130438bc22583d105c034572da4ca6ee0c553d7e549861,TOB,Torbay,Torbay Council,,1905-06-20,
162076c2839e5faee85acdf652b94c4c8774345c25491646a3bf6d513e47ea2e6d48,TON,Tonbridge and Malling,Tonbridge and Malling Borough Council,,,
1620dc4fc2a1ed7eb1361b72c03afbff2ece02366cb4c852fe9da9d40eac65ac9631,TOR,Torridge,Torridge District Council,,,
16200b9e371d5148f8e51ba40abbf4b8596ae33007e18b9acefc875ce303c6b8b010,TRF,Trafford,Trafford Metropolitan Borough Council,,1974-04-01,
1620f9eb4c84ad69568c4f64b95534c0dd89d63d8cd979533415bd224920b45079eb,TUN,Tunbridge Wells,Tunbridge Wells Borough Council,,,
1620f41f0cae1511894ca4e7de7bc4e5e16fd94446836594732958aaffa7f632638a,TVCA,Tees Valley Combined Authority,Tees Valley Combined Authority,,2014-04-01,
162021ce35f4559e7cf86a40424c53b5908016fb47dc02bde17fcc6e06a0f3581b66,TWH,Tower Hamlets,London Borough of Tower Hamlets,,,
162024b106a393101782aa12412fb39ca7269e137701b836bb64080d2c842072f8e8,UTT,Uttlesford,Uttlesford District Council,,,
16208e4fdea11c22311cd430b9b5c84dd243d8f7f997d42594c2246aded888a3a543,VAL,Vale of White Horse,Vale of White Horse District Council,,,
16201f2074c6b2cbe174e7234ffabcde92febbae72c1e30f15213a16fccd50bdb1d5,WAE,Waverley,Waverley Borough Council,,,
16202c3598e6e3433bb333638a5f6f84887001cd1daa2fcc85bbc72fe099f3a1dab4,WAR,Warwickshire,Warwickshire County Council,,,
16205d5dc52c34c88e2297ca8d814d6e9eadc4a240ce90e22a991916e0a1f0bf9e24,WAT,Watford,Watford Borough Council,,,
16207506c5965cf1b6402446af408431bc6e1e7467321ed52f1fc3a27a7c833edade,WAV,Waveney,Waveney District Council,,,2019-03-31
